participant_id,condition,prompt_id,outline_ideas_shown,outline_detail_shown,outline_ideas_pasted,outline_characters_inserted,revision_ideas_shown,revision_ideas_applied,revision_characters_inserted_1
592a6246e1b21500015924ec,2,a1,3,1,1,225,0,0,0
58d62c1733fef30001189b75,2,b1,3,1,0,0,0,0,0
67d070528f54dbfce58f90a2,4,b1,0,0,0,0,12,2,118
56b8de29e1d0a200051517f8,3,a2,0,0,0,0,0,0,0
675b41e1b943026fc6b83379,3,b1,0,0,0,0,0,0,0
663e30d90403a7b041965a81,2,b1,0,0,0,0,0,0,0
63d1b680be452fa711f77f60,1,a1,0,0,0,0,0,0,0
5a0a7bc6ff266c0001d2009d,3,b3,0,0,0,0,0,0,0
66c0df311f98d7c9661669d9,2,b3,0,0,0,0,0,0,0
652be55d3d99a68b56fe7d56,2,b2,3,1,1,464,0,0,0
64136650748e4e17c18e1900,4,b1,0,0,0,0,18,10,1008
6598524eff590951e558a42f,1,a1,0,0,0,0,0,0,0
5f4fb5c0ad48ba0ab9a454e5,3,a1,0,0,0,0,0,0,0
5d23d88ba60539001ba16192,4,b1,0,0,0,0,24,7,645
5be9ce784f251d00015ce92e,3,a2,0,0,0,0,0,0,0
6669d0b650f615804a4d534f,1,b1,0,0,0,0,0,0,0
5ef07f0ba383185b3570273e,1,a1,0,0,0,0,0,0,0
67e1cbc7607f91fd502da9d2,3,b3,0,0,0,0,0,0,0
66467f5703bc98ffca9a248c,2,a1,3,3,0,0,0,0,0
651f877f99a86ed3d73471c5,1,a3,0,0,0,0,0,0,0
6287f4819c5fc8c4d48cc885,1,a1,0,0,0,0,0,0,0
614e6f4f00a9e94b123316d3,3,a1,0,0,0,0,0,0,0
5dc71b96d210e45213e92359,3,a1,0,0,0,0,0,0,0
5f974c72a0ed8c0f9ce724ea,4,a3,0,0,0,0,55,27,1328
646ff124ef129159bf5f08f7,4,b3,0,0,0,0,9,5,965
5e7b779563c6dc05953e3669,3,b1,0,0,0,0,0,0,0
66823a439b3e59a13b37a28f,2,b1,3,0,0,0,0,0,0
6674d22663a406047c933cb0,1,a3,0,0,0,0,0,0,0
6658c03719546bf4a7e548d8,3,a2,0,0,0,0,0,0,0
6717b21c1e82990c9080d9bc,4,b3,0,0,0,0,18,9,911
62c5d0cfdf443d24e054d302,1,a3,0,0,0,0,0,0,0
665e680164927b18554b66ec,3,a1,0,0,0,0,0,0,0
5fc4868e1e58465b64455779,2,a3,3,0,0,0,0,0,0
67d41d29479463a26163080b,4,b1,0,0,0,0,0,0,0
67d41706b93041fcbe3c570b,4,a3,0,0,0,0,3,0,0
5980fff19bf4fe0001070984,4,a3,0,0,0,0,15,8,747
67df28916f79de47a12d35d9,2,b3,0,0,0,0,0,0,0
67cdf158555dc24e9c13714a,1,b1,0,0,0,0,0,0,0
58462977d2be990001174ae3,4,b2,0,0,0,0,9,4,483
65c113f79050d9c2915d2e82,1,b1,0,0,0,0,0,0,0
5de30dd39a9da5342d09f2e8,2,b1,0,0,0,0,0,0,0
66926bdaacd865fc152ef5ff,1,b1,0,0,0,0,0,0,0
